Banco;Data;CAR;NPL;OEA;NPM;ROA;ROE;LDR;GAP;PIB;LNAtivo
ABC;2015-03-01;0.1418;0.006538034;0.048032832;0.070111052;0.003468985;0.035263035;2.273738263;0.294693571;14.19166425;16.9568574
ABC;2015-06-01;0.148;0.007918242;0.051511672;0.11136075;0.007377278;0.072951291;2.087782623;0.316285781;14.20753981;16.95499628
ABC;2015-09-01;0.1457;0.010532634;0.022030136;0.05270361;0.00357797;0.038938239;2.211926365;0.300327853;14.22644535;17.09502339
ABC;2015-12-01;0.1618;0.011471657;0.037147132;0.089172382;0.008272521;0.079913677;2.311427723;0.336433705;14.25435177;17.00179426
ABC;2016-03-01;0.1715;0.012330111;0.099474592;0.269725862;0.003885425;0.034659207;2.673519825;0.321170199;14.22112632;16.97077373
ABC;2016-06-01;0.1787;0.012454693;0.103588244;0.326544163;0.008582621;0.072613637;2.485504777;0.285571428;14.25955002;16.94002638
ABC;2016-09-01;0.1842;0.006422363;0.073834574;1.54527414;0.0043636;0.036303715;2.202835416;0.349931991;14.27115344;16.97487219
ABC;2016-12-01;0.1789;0.008695437;0.071711299;0.157996502;0.008224583;0.073036692;1.901176533;0.347414771;14.30588283;17.06171404
ABC;2017-03-01;0.1789;0.008695437;0.071711299;0.157996502;0.008224583;0.073036692;1.901176533;0.347414771;14.27670613;17.06171404
ABC;2017-06-01;0.1618;0.006680902;0.076420158;0.150885703;0.0076834;0.066019099;1.697995198;0.319643036;14.30466464;17.09384586
ABC;2017-09-01;0.1705;0.013218547;0.00726447;1.974665782;0.003858342;0.032255237;1.622085209;0.296945257;14.31541941;17.12217405
ABC;2017-12-01;0.1631;0.013004779;0.093317937;0.186601054;0.007464396;0.065382894;1.730762759;0.295302851;14.35783601;17.17478934
ABC;2018-03-01;0.1612;0.007214045;0.103080916;0.184006482;0.00382708;0.031740471;1.851319865;0.281870853;14.33482029;17.1606008
ABC;2018-06-01;0.1614;0.00521291;0.005165388;0.112309802;0.00712082;0.063901188;2.019530894;0.279949456;14.36562593;17.25324544
ABC;2018-09-01;0.1617;0.001478003;0.055343215;0.133962194;0.003706052;0.032085322;2.065621005;0.248762967;14.38555011;17.26009873
ABC;2018-12-01;0.1716;0.004549661;0.090724628;0.159010445;0.006046142;0.053985681;1.806130448;0.241793861;14.41516211;17.30377625
ABC;2019-03-01;0.1731;0.015206244;0.091329121;0.176861309;0.003532425;0.031261162;2.05612262;0.200299417;14.38401982;17.33729418
ABC;2019-06-01;0.1791;0.015006537;0.093896443;0.200916504;0.007225111;0.06498323;2.566429724;0.197884813;14.42220948;17.37451535
ABC;2019-09-01;0.1741;0.016491697;0.03302597;0.091790083;0.003519984;0.03299079;2.642003473;0.249005187;14.44890933;17.41866602
ABC;2019-12-01;0.1689;0.015738764;0.095992038;0.166423369;0.007615596;0.068334401;2.332501532;0.307188487;14.46940794;17.40615152
ABC;2020-03-01;0.1466;0.015178506;0.014121493;0.022303288;0.001659535;0.020015672;2.450175003;0.279657909;14.42737339;17.7033852
ABC;2020-06-01;0.1572;0.011613798;0.001904253;0.026739884;0.002904146;0.034840602;2.059965347;0.278838378;14.35127852;17.70950598
